progname,Hours
ccp4,10776439
phenix,10770035
xterm,10768473
chimera,10695257
chimerax,10690644
phenix,10685743
phenix,10685743
phenix,10683514
java,10660061
ccp4,10657419
java,10642919
relion,10631167
coot,10628651
chimera,10625575
imagemagick,10624143
coot,10605858
ccp4,10578804
ccp4,10577509
phenix,10563105
chimera,10560546
ccp4,10525523
chimera,10510937
ccp4,10501129
java,10482325
phenix,10456995
ccp4,10440482
ccp4,10432188
chimera,10425217
phenix,10393096
chimera,10387219
ccp4,10361791
chimera,10274578
ccp4,10269599
ccp4,10257585
relion,10252674
chimera,10242295
phenix,10221302
ccp4,10203671
ccp4,10192293
relion,10192259
ccp4,10166673
ccp4,10111982
rosetta,10106985
samtools,10105194
relion,10095502
phenix,10076933
chimera,10067106
ccp4,10047821
coot,10036590
ccp4,9992759
perl,9992027
coot,9981900
relion,9981106
nedit,9980245
ccp4,9970345
phenix,9961756
pymol,9931856
ccp4,9923343
pymol,9922989
ccp4,9897798
relion,9880496
chimera,9862934
ccp4,9855962
phenix,9848889
xterm,9837669
ccp4,9833421
samtools,9833255
coot,9827202
imosflm,9805344
ccp4,9794900
phenix,9786257
chimera,9776836
sbgrid_installer,9768061
phenix,9761007
phenix,9755281
chimera,9746786
cryolo,9729647
java,9705602
phenix,9701178
java,9699550
ccp4,9695847
ccp4,9676485
phenix,9659586
phenix,9656993
samtools,9651942
pymol,9640037
phenix,9630428
nedit,9620198
ccp4,9597152
pymol,9592860
samtools,9579534
phenix,9566680
chimera,9561607
ccp4,9558149
perl,9555126
vcftools,9552355
perl,9541222
htslib,9535353
nedit,9531957
ccp4,9515545
ccp4,9509624
phenix,9508746
ccp4,9496063
chimera,9483156
phenix,9474854
phenix,9440570
ccp4,9425948
ccp4,9416965
coot,9408170
ccp4,9407224
phenix,9399378
chimera,9397193
pymol,9384410
samtools,9378254
phenix,9363144
phenix,9362118
chimera,9349214
chimera,9344347
pymol,9325804
ccp4,9317647
ccp4,9299380
python,9296064
chimera,9272345
samtools,9251959
coot,9239038
nmrview,9231851
ccp4,9221888
ccp4,9216022
phenix,9214302
ccp4,9213546
ccp4,9211232
phenix,9210527
phenix,9210206
phenix,9197444
chimerax,9190020
ccp4,9188057
java,9175177
chimera,9163574
ccp4,9149379
phenix,9143682
ccp4,9122116
ccp4,9115490
ccp4,9094813
phenix,9092953
o,9072512
pymol,9056385
phenix,9035827
phenix,9032651
ccp4,9027247
nmrfam-sparky,9009550
relion,9003412
hkl,8999177
perl,8988600
pymol,8986232
coot,8983333
ccp4,8974155
pymol,8973539
phenix,8970441
pymol,8968200
phenix,8952114
coot,8939989
java,8934730
ccp4,8934645
ccp4,8932228
phenix,8916398
phenix,8899031
chimera,8870132
ccp4,8866203
samtools,8836809
ccp4,8835058
nmrfam-sparky,8834921
samtools,8817724
pymol,8814741
peet,8809090
phenix,8797906
ccp4,8789698
ccp4,8785108
pymol,8774559
pymol,8769639
perl,8769086
ccp4,8765243
phenix,8763252
ccp4,8760770
ccp4,8750339
relion,8745721
phenix,8741748
phenix,8724904
phenix,8714477
ccp4,8709192
ccp4,8705073
pymol,8700252
ccp4,8683323
relion,8671141
phenix,8632275
ccp4,8613541
ccp4,8613541
coot,8612525
relion,8609444
chimera,8560752
samtools,8559012
phenix,8557612
phenix,8529099
ccp4,8518553
relion,8508815
relion,8508815
coot,8481217
chimerax,8474923
java,8449628
java,8447422
ccp4,8427843
ccp4,8406925
ccp4,8404958
phenix,8404239
pymol,8399813
phenix,8387479
relion,8375102
perl,8363097
phenix,8361692
ccp4,8352461
phenix,8340793
nedit,8329547
perl,8327662
chimera,8323950
ccp4,8320010
chimera,8314216
samtools,8307739
samtools,8293341
phenix,8289745
ccp4,8266775
samtools,8265632
chimera,8264711
relion,8262924
relion,8243749
ccp4,8235573
ccp4,8228221
perl,8218587
perl,8215958
samtools,8212887
xterm,8211759
chimera,8191580
phenix,8171226
chimera,8166708
pymol,8147024
perl,8128565
ccp4,8124947
phenix,8117031
samtools,8108636
pymol,8106458
chimerax,8078813
pymol,8073204
perl,8069422
nedit,8054755
phenix,8033459
phenix,8020413
ccp4,8005880
relion,8001149
ccp4,7999279
pymol,7998540
phenix,7978041
perl,7955626
samtools,7944994
perl,7935962
pymol,7923477
ccp4,7919270
relion,7909212
perl,7900224
chimera,7888217
pymol,7864184
java,7858595
pymol,7839552
pymol,7838970
ccp4,7833567
chimera,7824460
samtools,7819876
chimera,7815439
coot,7805000
pymol,7794331
ccp4,7791644
ccp4,7783132
htslib,7778338
pymol,7776902
phenix,7774834
coot,7771274
ccp4,7769851
phenix,7755392
xterm,7740856
ccp4,7737063
ccp4,7735826
ccp4,7729210
java,7711804
relion,7701040
chimera,7697483
pymol,7697122
chimera,7694473
peet,7694124
vcftools,7692130
phenix,7691226
samtools,7688721
pymol,7678042
coot,7661004
chimera,7659591
rosetta,7645252
ccp4,7637757
ccp4,7634839
perl,7626627
chimera,7623270
samtools,7619480
ccp4,7602410
phenix,7599114
ccp4,7598938
ccp4,7586912
chimerax,7572094
relion,7551854
pymol,7544587
java,7536816
hkl,7524244
phenix,7523777
chimera,7522489
ccp4,7519478
pymol,7518621
phenix,7517405
perl,7516294
phenix,7499181
samtools,7496540
phenix,7494139
chimera,7487509
ccp4,7480537
phenix,7458569
perl,7457652
coot,7456965
samtools,7447020
relion,7445054
ccp4,7439440
pymol,7427265
ccp4,7422444
nedit,7420829
ccp4,7416121
phenix,7415534
prody,7413492
coot,7406569
chimera,7400088
ccp4,7399548
relion,7384875
pymol,7377443
ccp4,7375749
nedit,7373698
phenix,7371478
phenix,7367841
schrodinger,7363970
phenix,7350208
phenix,7350208
ccp4,7346436
schrodinger,7344862
coot,7342298
ccp4,7306653
rosetta,7263488
phenix,7260063
phenix,7260063
ccp4,7250037
chimerax,7246969
perl,7235073
java,7217901
ccp4,7211886
phenix,7206628
schrodinger,7197011
ccp4,7196103
pymol,7195462
java,7192852
samtools,7166126
ccp4,7163447
ccp4,7163130
coot,7161351
phenix,7159048
phenix,7157709
ccp4,7155576
perl,7155545
chimera,7149368
samtools,7142173
ccp4,7127904
ccp4,7123143
pymol,7116432
coot,7116175
ccp4,7110200
coot,7108806
peet,7104436
coot,7102806
chimera,7099079
phenix,7097996
gromacs,7090427
nedit,7075116
coot,7068350
samtools,7067405
ccp4,7065426
pymol,7057401
ccp4,7055845
ccp4,7049785
relion,7040752
ccp4,7027489
ccp4,7023744
pymol,7022916
pymol,7019754
relion,7018292
ccp4,7006260
phenix,6997071
peet,6994655
xterm,6991774
phenix,6990530
perl,6983024
phenix,6982378
ccp4,6973516
ccp4,6971977
ccp4,6963809
coot,6963417
ccp4,6962316
nedit,6952627
phenix,6941629
samtools,6928269
coot,6927597
openmpi,6925442
chimera,6919585
phenix,6906849
peet,6895636
ccp4,6889570
phenix,6888704
chimera,6869665
peet,6868429
peet,6868429
samtools,6867203
phenix,6865695
coot,6856298
pymol,6852213
phenix,6849627
pymol,6844363
phenix,6836547
phenix,6823713
phenix,6818146
coot,6815133
pymol,6810716
ccp4,6790842
o,6784611
phenix,6782485
coot,6781737
chimerax,6779085
phenix,6771592
pymol,6770642
phenix,6768256
relion,6766709
peet,6766549
relion,6764272
coot,6747936
pymol,6743385
hkl,6741825
pymol,6737352
samtools,6722422
coot,6721994
phenix,6716945
pymol,6703214
chimera,6701685
pymol,6696817
pymol,6694380
perl,6683897
phenix,6677067
ccp4,6672525
pymol,6657757
phenix,6652293
ccp4,6645871
chimera,6645356
phenix,6628364
chimera,6628255
openmpi,6619346
coot,6604616
phenix,6603392
pymol,6602118
pymol,6600888
pymol,6599620
perl,6597391
ccp4,6597177
pymol,6579952
perl,6573580
chimera,6569970
vmd,6564033
peet,6559830
xdsgui,6550265
rosetta,6547866
samtools,6545455
pymol,6544399
hkl,6541337
xterm,6539955
phenix,6538863
coot,6538197
nmrview,6537584
ccp4,6529196
coot,6527922
samtools,6523086
chimerax,6520843
pymol_schrodinger,6519366
ccp4,6515431
phenix,6500527
samtools,6499865
nedit,6499192
chimera,6494084
ccp4,6489738
coot,6488331
chimera,6488324
chimera,6483178
pymol,6482772
phenix,6478422
ccp4,6474987
perl,6462813
phenix,6462512
phenix,6457273
phenix,6457175
coot,6456738
relion,6453887
coot,6417047
perl,6410141
chimera,6404518
chimera,6394025
samtools,6393297
samtools,6393132
chimera,6392628
chimera,6391334
relion,6385269
perl,6376573
coot,6372394
chimera,6364015
phenix,6359037
phenix,6358542
samtools,6357859
ccp4,6350370
samtools,6340712
coot,6330000
phenix,6323338
chimera,6316594
chimera,6292685
chimera,6285773
coot,6282865
ccp4,6278052
ccp4,6278052
phenix,6277158
pymol,6275922
samtools,6274236
phenix,6252109
xds-viewer,6218261
perl,6207859
relion,6207560
peet,6190006
phenix,6188047
chimera,6184517
pymol,6183925
phenix,6159847
chimera,6159475
chimerax,6154847
ccp4,6141304
rosetta,6131134
ccp4,6127731
relion,6127007
relion,6123987
relion,6120494
ccp4,6104467
peet,6101467
vmd,6097035
chimerax,6082271
ccp4,6065559
java,6047253
phenix,6043416
pymol,6040606
coot,6039899
chimera,6038438
vmd,6033148
vmd,6032790
openmpi,6030914
java,6027501
phenix,6024387
chimera,6015960
pymol,6014765
relion,6014059
pymol,6010877
pymol,6010877
xdsgui,6007424
phenix,6005215
pymol,6002262
java,5997783
java,5997783
gatk,5994561
samtools,5981750
phenix,5981721
relion,5976498
pymol,5973891
chimera,5971948
pymol,5966658
phenix,5965761
pymol,5957809
peet,5933074
perl,5929343
chimera,5926334
coot,5924872
ccp4,5897205
relion,5896066
coot,5890086
pymol,5876122
schrodinger,5872179
coot,5864833
pymol,5862269
phenix,5862064
mgltools,5858869
coot,5854580
pymol,5854132
relion,5853086
relion,5844691
ccp4,5829399
chimera,5826811
chimera,5823551
chimera,5816864
phenix,5814710
pymol,5799281
pymol,5793743
pymol,5786860
coot,5782667
coot,5782615
rosetta,5764817
schrodinger,5753968
relion,5750319
pymol,5748898
pymol,5747759
chimera,5747405
pymol,5745845
phenix,5737616
ccp4,5736767
ccp4,5735322
phenix,5729319
phenix,5720303
pymol,5705043
pytom,5701062
o,5698774
pymol,5698729
r,5694082
pymol,5691896
chimera,5689448
cistem,5688320
pymol,5682750
phenix,5679493
coot,5675585
chimera,5663648
ccp4,5657437
chimera,5656223
ccp4,5653170
chimera,5640946
relion,5635157
phenix,5631528
relion,5626199
pymol,5612803
chimera,5610681
chimera,5604667
pymol,5598225
java,5596919
ccp4,5594277
python,5587455
ccp4,5583362
relion,5578221
peet,5574835
python,5574057
chimera,5573198
relion,5572487
java,5567520
java,5567520
phenix,5561771
samtools,5560436
chimera,5557679
phenix,5554232
eman,5544787
hkl,5541157
pymol,5538119
chimera,5537644
o,5528560
chimerax,5528371
phenix,5527815
coot,5526591
cistem,5525666
relion,5520276
relion,5515559
ccp4,5508506
chimera,5498236
coot,5496432
java,5493389
chimera,5491524
o,5490409
ccp4,5489488
nedit,5484036
xterm,5479867
phenix,5478953
pymol,5475951
ccp4,5470539
xterm,5464787
ccp4,5454228
chimera,5453804
emacs,5447632
phenix,5440410
pymol,5436456
phenix,5418970
coot,5381160
peet,5376984
ccp4,5374129
java,5369644
ccp4,5365696
java,5365081
phenix,5333405
ccp4,5331820
relion,5325155
coot,5324412
eman2,5321691
phenix,5319822
schrodinger,5319106
vmd,5311573
pymol,5311168
phenix,5309774
nedit,5304131
relion,5303798
peet,5298935
ccp4,5297203
phenix,5296339
pymol,5293878
pymol,5291115
phenix,5283335
java,5275458
chimera,5256572
pymol,5254564
phenix,5249382
chimera,5235149
samtools,5234050
relion,5217819
chimera,5215500
coot,5205243
relion,5201806
chimerax,5196583
pymol,5193265
relion,5193247
java,5183883
relion,5179606
phenix,5174674
chimera,5166627
hkl,5164387
ccp4,5163879
pymol,5160594
ccp4,5141822
coot,5141303
coot,5141108
ccp4,5140508
relion,5136967
openmpi,5136933
pymol,5134471
nmrfam-sparky,5129332
phenix,5128174
ccp4,5128051
chimera,5117198
peet,5115787
spring,5114908
relion,5111216
delly,5102108
pymol,5093277
ccp4,5091488
ccp4,5090021
chimera,5088836
o,5088011
perl,5087624
peet,5084625
chimera,5078635
pymol,5077605
chimerax,5077195
relion,5073511
pymol,5068717
pymol,5062830
coot,5056752
relion,5055557
samtools,5038528
phenix,5038309
phenix,5036981
phenix,5035606
relion,5034953
pymol,5032950
relion,5019067
phenix,5015264
pymol,5010164
pymol,5009160
chimera,5008055
ccp4,5007006
chimera,5006096
schrodinger,5005768
java,5005656
ccp4,5000533
pymol,5000230
phenix,4996327
relion,4995931
geneious,4994350
pymol,4994190
relion,4993868
perl,4988767
java,4985080
relion,4984228
chimerax,4982839
chimera,4982798
phenix,4977612
coot,4975632
xdsgui,4975457
relion,4973967
nedit,4965969
relion,4965869
phenix,4958497
chimerax,4958321
pymol,4953232
openmpi,4953077
pymol,4946255
coot,4944076
peet,4939410
relion,4935737
fiji,4934190
java,4932944
pymol,4929805
coot,4928375
samtools,4915040
perl,4912575
pymol,4909683
phenix,4901632
pymol,4897800
chimera,4894895
samtools,4887232
chimera,4884763
pytom,4884703
pymol,4883355
pymol,4883345
relion,4883055
chimerax,4880843
relion,4880005
phenix,4879769
relion,4871921
pymol,4870311
samtools,4863699
java,4863622
chimera,4854229
phenix,4853773
phenix,4851894
relion,4850099
coot,4847654
relion,4840355
relion,4838700
pymol,4824429
relion,4820701
coot,4817789
pymol,4815150
coot,4812004
ccp4,4810584
relion,4806120
chimerax,4799847
chimera,4795288
pymol,4788106
relion,4786189
ccp4,4781945
relion,4781108
phenix,4769496
pymol,4767467
coot,4758777
vmd,4755525
chimera,4755340
perl,4742103
python,4740626
chimera,4739721
ccp4,4733397
ccp4,4729258
pytom,4727563
coot,4722853
relion,4722852
peet,4722567
samtools,4719053
nmrpipe,4716078
relion,4710066
coot,4702106
chimerax,4698617
coot,4698171
coot,4698171
java,4695708
pymol,4695585
relion,4692724
chimerax,4692661
rosetta,4686483
chimera,4685259
pymol,4683759
eman2,4682675
chimera,4673496
chimera,4670907
relion,4670896
pymol,4670380
chimera,4668580
vmd,4660599
coot,4654805
o,4647510
coot,4646537
pymol,4643625
relion,4632296
relion,4630364
chimera,4627701
peet,4626786
relion,4620480
relion,4620424
ccp4,4618537
phenix,4617518
perl,4608786
perl,4608786
ccp4,4606279
phenix,4602210
coot,4601873
pymol,4598523
relion,4597022
chimera,4592562
pymol,4592329
chimera,4585649
openmpi,4584796
chimera,4581634
phenix,4579006
chimera,4577027
chimerax,4576009
coot,4573790
perl,4573474
coot,4570419
chimera,4568492
java,4561224
relion,4553546
relion,4551860
pymol,4549767
relion,4549528
chimera,4535238
relion,4523628
chimera,4521770
coot,4513909
coot,4510281
coot,4509668
pymol,4502838
relion,4502369
coot,4498489
peet,4496023
chimera,4494991
relion,4492495
coot,4491319
chimera,4484236
chimerax,4475854
chimerax,4472077
relion,4471313
java,4471196
phenix,4469288
phenix,4469119
chimera,4466973
phenix,4466078
peet,4464547
ccp4,4461913
chimera,4456016
phenix,4453755
coot,4449839
phenix,4448059
phenix,4447136
samtools,4443935
relion,4442453
coot,4441103
pymol,4440528
samtools,4436025
pymol,4433418
chimerax,4432025
peet,4430678
phenix,4425697
pytom,4424094
chimera,4415542
java,4414603
chimera,4414350
phenix,4413951
pymol,4410200
chimera,4407753
samtools,4406218
samtools,4406218
chimerax,4402004
phenix,4399949
xterm,4398485
java,4395774
chimera,4393919
relion,4387822
samtools,4386908
python,4379919
htslib,4379839
pymol,4376698
grace,4373360
relion,4370387
coot,4366764
peet,4366504
vcftools,4364804
phenix,4362739
ccp4,4359027
chimerax,4356913
pymol,4346304
pymol,4344333
chimerax,4335325
chimera,4334039
chimerax,4330769
relion,4325815
bcftools,4320997
chimera,4313720
relion,4313173
relion,4312182
phenix,4311782
coot,4308312
samtools,4298161
phenix,4294660
java,4292573
pytom,4280743
chimera,4279198
phenix,4278474
relion,4275805
chimera,4274225
vmd,4270144
pymol,4266711
ccp4,4264956
coot,4257950
nmrfam-sparky,4253890
coot,4253818
relion,4244743
chimerax,4243039
coot,4242429
relion,4242038
relion,4237287
xterm,4233256
ccp4,4232355
pymol,4230687
scipion,4228849
peet,4228235
ccp4,4227363
peet,4226934
samtools,4225570
peet,4221443
coot,4220298
pymol_schrodinger,4217196
chimera,4213215
pymol,4205926
pymol,4203180
eman2,4202880
peet,4202599
chimerax,4201307
coot,4200974
chimerax,4197954
phenix,4194404
coot,4187636
relion,4185727
ccp4,4182156
relion,4181783
phenix,4178261
pymol,4174322
chimera,4174010
chimera,4170834
openmpi,4164702
relion,4161851
nmrview,4157621
adxv,4156892
phenix,4154937
relion,4149191
phenix,4145144
relion,4138708
java,4132781
phenix,4130397
coot,4129801
schrodinger,4127078
pymol,4123831
phenix,4123578
relion,4123262
ccp4,4121617
relion,4116879
peet,4115480
coot,4113849
chimera,4109389
chimera,4108324
chimera,4092620
coot,4090331
relion,4089190
chimerax,4088728
phenix,4087868
pymol,4085859
java,4084931
relion,4084496
ccp4,4082521
pymol,4081072
chimerax,4079920
phenix,4078906
chimerax,4070739
coot,4064631
relion,4055644
coot,4053310
chimera,4050224
geneious,4044080
relion,4042255
relion,4042132
phenix,4038225
pymol,4036441
phenix,4036035
pymol,4033767
python,4031998
relion,4029339
ccp4,4027810
relion,4024478
phenix,4022935
pymol,4015773
peet,4014759
samtools,4014096
samtools,4011038
chimera,4001039
ccp4,3999829
peet,3999140
chimera,3994668
pytom,3992029
peet,3984219
coot,3979016
java,3978415
chimera,3977687
chimera,3977545
relion,3976444
python,3976257
chimera,3972820
relion,3968127
java,3967461
relion,3966904
pymol,3960103
pytom,3958949
phenix,3955216
phenix,3952978
pymol,3949331
pytom,3948048
chimerax,3947748
dials,3947633
coot,3943469
peet,3937800
peet,3935891
coot,3935829
relion,3934139
ccpem,3932456
perl,3931858
coot,3930875
chimerax,3925069
nedit,3921092
relion,3920935
phenix,3917339
relion,3914515
peet,3912937
relion,3907196
phenix,3907100
pymol,3906496
phenix,3903705
samtools,3903182
peet,3902063
pymol,3899123
schrodinger,3890890
ccp4,3889498
chimera,3887876
pymol_schrodinger,3887750
coot,3887401
phenix,3883595
pymol,3880183
relion,3877645
alphafold,3870635
phenix,3870004
r,3868335
r,3868335
chimerax,3867730
relion,3867400
chimera,3867196
samtools,3863677
chimerax,3859306
ccp4,3852352
pymol,3847868
pymol,3843531
relion,3841655
coot,3839794
pymol,3831563
pymol_schrodinger,3830316
openmpi,3828953
pymol,3827964
chimera,3825591
chimerax,3825331
ccp4,3819088
relion,3816506
python,3814653
geneious,3812304
coot,3811323
scatter,3808921
pymol,3808617
pymol,3808617
chimera,3800289
pymol,3797924
chimera,3783450
schrodinger,3775536
chimera,3773441
ccp4,3771670
chimera,3768880
chimera,3762669
nmrfam-sparky,3762164
phenix,3759154
chimerax,3757269
chimera,3756774
coot,3755474
relion,3755193
coot,3754348
peet,3754344
pymol,3752346
pymol,3751705
relion,3749597
coot,3742015
relion,3741138
coot,3730202
peet,3729749
pymol,3729589
phenix,3728441
samtools,3724782
coot,3723365
pymol,3711622
perl,3710848
chimera,3702617
java,3701087
coot,3699240
coot,3694424
phenix,3691321
chimerax,3686302
phenix,3679206
r,3675890
ccp4,3674504
chimera,3673364
relion,3671410
java,3670394
cistem,3669795
pymol,3664108
ccp4,3663723
pymol,3658096
pymol,3657740
chimera,3649538
peet,3649399
pymol,3645694
relion,3642773
pymol,3641547
chimera,3640253
phenix,3636897
java,3635031
ccp4,3634732
chimera,3625622
coot,3619456
relion,3619051
relion,3619051
peet,3617417
relion,3615471
chimerax,3614651
coot,3613091
chimera,3611768
chimera,3610476
imagej,3610072
vmd,3609059
relion,3608620
coot,3608301
ccp4,3604055
relion,3600812
chimera,3599867
phenix,3598576
chimera,3592113
chimera,3591828
chimera,3591828
pymol,3590098
pytom,3586338
chimerax,3586081
nmrfam-sparky,3585931
phenix,3580839
scipion,3573871
schrodinger,3570851
pymol,3564967
peet,3563274
nedit,3558087
pymol,3554927
java,3554524
coot,3554247
ccp4,3552847
coot,3551144
chimera,3549996
coot,3544294
relion,3538218
eman2,3535702
relion,3530055
coot,3529499
phenix,3521577
chimera,3520081
phenix,3519300
coot,3517314
coot,3517314
chimera,3516526
samtools,3516027
relion,3511858
coot,3511727
phenix,3510324
relion,3507752
nmrview,3507715
relion,3505755
chimerax,3502428
schrodinger,3493385
vmd,3490895
chimera,3490265
chimera,3487127
pymol,3479070
pymol,3477867
chimerax,3473842
phenix,3472311
chimera,3471367
java,3470455
relion,3456611
relion,3456335
chimerax,3456308
pymol_schrodinger,3456249
chimera,3455453
peet,3453832
peet,3449310
ccp4,3448494
phenix,3447267
chimera,3446187
ccpem,3444703
igv,3444680
pymol,3438907
coot,3437794
phenix,3436896
chimerax,3434592
ccpem,3432465
java,3432458
chimerax,3429309
chimerax,3428734
ccp4,3428041
relion,3426415
chimera,3422108
htslib,3421082
relion,3420084
nmrpipe,3417141
chimera,3415539
relion,3413568
relion,3406949
relion,3406070
peet,3400559
phenix,3398078
chimerax,3397597
relion,3397054
nmrfam-sparky,3395155
vmd,3393311
java,3391715
python,3391413
phenix,3390375
adxv,3385201
pymol,3383877
phenix,3381569
xdsgui,3381067
relion,3380755
ccpnmr,3371475
relion,3370075
samtools,3368723
pymol,3362295
ccp4,3361976
relion,3360370
coot,3359694
pymol,3358721
relion,3357938
xdsgui,3357872
nedit,3356270
chimera,3355628
r,3355529
coot,3349707
schrodinger,3347751
phenix,3341822
pymol,3341377
relion,3338745
relion,3328839
chimerax,3325690
chimera,3325048
relion,3323755
relion,3323038
relion,3321471
nmrfam-sparky,3320372
relion,3315064
samtools,3314884
scipion,3312869
phenix,3312627
chimera,3308183
ccp4,3304877
xterm,3302161
peet,3300328
nedit,3297374
pymol,3294688
schrodinger,3285880
nmrview,3280636
nmrview,3280636
chimerax,3274750
coot,3272738
pymol,3272485
relion,3271698
nmrpipe,3271193
pymol,3268652
nmrfam-sparky,3265042
pymol,3261948
nedit,3260474
peet,3260463
relion,3260315
samtools,3258659
chimerax,3258396
phenix,3256296
coot,3253933
relion,3251452
coot,3250582
eman2,3250581
pymol_schrodinger,3248963
xdsgui,3241655
pytom,3239928
relion,3239171
chimera,3238264
relion,3233537
coot,3230580
coot,3225749
pymol,3225370
coot,3221942
peet,3219440
relion,3216861
ccp4,3215814
java,3215189
pymol,3214793
phenix,3213109
phenix,3209945
coot,3201559
coot,3199596
relion,3199283
chimera,3193041
phenix,3190778
sratoolkit,3188405
relion,3183409
peet,3182629
relion,3181679
cistem,3180726
ccpnmr,3179202
nedit,3175930
peet,3175367
schrodinger,3173907
phenix,3168828
caver_analyst,3168035
phenix,3167997
relion,3167831
phenix,3166285
pymol,3160349
pymol,3160211
pymol,3159817
relion,3159762
vcftools,3158755
relion,3156706
chimera,3155702
relion,3155239
relion,3147621
relion,3145763
chimera,3143231
relion,3140827
chimera,3140388
pymol,3138840
relion,3136310
relion,3136134
relion,3135159
chimera,3131943
relion,3131859
pymol,3126578
scatter,3124957
ccp4,3124360
relion,3122749
coot,3122047
chimera,3121609
relion,3121404
coot,3113408
pytom,3111532
chimerax,3111140
pymol_schrodinger,3107042
phenix,3105991
java,3104966
phenix,3104065
nmrview,3103377
samtools,3101510
chimera,3092519
peet,3089184
hkl,3087816
java,3083042
